GEOID20,District0
360290001101000,41.0
360290001101001,41.0
360290001101002,41.0
360290001101003,41.0
360290001101004,41.0
360290001101005,41.0
360290001101006,41.0
360290001102000,41.0
360290001102001,41.0
360290001102002,41.0
360290001102003,41.0
360290001102004,41.0
360290001102005,41.0
360290001103000,41.0
360290001103001,41.0
360290001103002,41.0
360290001103003,41.0
360290001103004,41.0
360290001103005,41.0
360290001103006,41.0
360290001103007,41.0
360290001103008,42.0
360290001103009,42.0
360290001103010,41.0
360290001103011,41.0
360290001103012,41.0
360290001103013,41.0
360290001103017,41.0
360290001103019,41.0
360290001103020,41.0
360290001103021,41.0
360290001103022,41.0
360290001103023,41.0
360290001103024,41.0
360290001103025,41.0
360290001103026,41.0
360290001103027,41.0
360290001103028,41.0
360290001103029,41.0
360290001103030,41.0
360290001103031,41.0
360290001103032,41.0
360290001103033,41.0
360290001103034,41.0
360290001103035,41.0
360290001103036,41.0
360290001103037,41.0
360290001103038,41.0
360290001103039,41.0
360290001103040,41.0
360290001103041,41.0
360290001103042,41.0
360290001103043,41.0
360290001103044,41.0
360290001103045,41.0
360290001103046,41.0
360290001103047,41.0
360290001103048,41.0
360290001103049,41.0
360290001103050,41.0
360290001103051,41.0
360290001103052,41.0
360290001103053,41.0
360290001103054,41.0
360290001103055,41.0
360290001103056,41.0
360290001103057,42.0
360290002001000,41.0
360290002001001,41.0
360290002001002,41.0
360290002001003,41.0
360290002001004,41.0
360290002001005,41.0
360290002001006,41.0
360290002001007,41.0
360290002001008,41.0
360290002001009,41.0
360290002001010,41.0
360290002001011,41.0
360290002001012,41.0
360290002001013,41.0
360290002002000,41.0
360290002002001,41.0
360290002002002,41.0
360290002002003,41.0
360290002002004,41.0
360290002002005,41.0
360290002003000,41.0
360290002003001,41.0
360290002003002,41.0
360290002003003,41.0
360290002003004,41.0
360290002003005,41.0
360290002004000,41.0
360290002004001,41.0
360290002004002,41.0
360290002004003,41.0
360290002004004,41.0
360290002004005,41.0
360290002004006,41.0
360290002004007,41.0
360290002004008,41.0
360290002004009,41.0
360290002004010,41.0
360290005001000,42.0
360290005001001,42.0
360290005001002,42.0
360290005001003,42.0
360290005001004,42.0
360290005001005,42.0
360290005001006,42.0
360290005001007,42.0
360290005001008,42.0
360290005001009,42.0
360290005001010,42.0
360290005001011,42.0
360290005001012,42.0
360290005001013,42.0
360290005001014,42.0
360290005001015,42.0
360290005001016,42.0
360290005001017,42.0
360290005001018,42.0
360290005001019,42.0
360290005001020,42.0
360290005001021,42.0
360290005001022,42.0
360290005001023,42.0
360290005001024,42.0
360290005001025,42.0
360290005001026,42.0
360290005001027,42.0
360290005001028,42.0
360290005001032,42.0
360290005001038,42.0
360290005001039,42.0
360290005001040,42.0
360290005001041,42.0
360290005001042,42.0
360290005001043,42.0
360290005001044,42.0
360290005001045,42.0
360290005001046,42.0
360290005001047,42.0
360290005001048,42.0
360290005001049,42.0
360290005001050,42.0
360290005001051,42.0
360290005001052,42.0
360290005001053,42.0
360290005001054,42.0
360290005001055,42.0
360290005001056,42.0
360290005001057,42.0
360290005002000,42.0
360290005002001,42.0
360290005002002,42.0
360290005002003,42.0
360290005002004,42.0
360290005002005,42.0
360290005002006,42.0
360290005002007,42.0
360290005002008,42.0
360290005002009,42.0
360290005002010,42.0
360290005002011,42.0
360290005002012,42.0
360290005002013,42.0
360290005002014,42.0
360290005002015,42.0
360290005002016,42.0
360290005002017,42.0
360290005002018,42.0
360290005002019,42.0
360290006001000,41.0
360290006001001,41.0
360290006001002,41.0
360290006001003,41.0
360290006001004,41.0
360290006001005,41.0
360290006002000,41.0
360290006002001,41.0
360290006002002,41.0
360290006002003,41.0
360290006002004,41.0
360290006002005,41.0
360290006003000,41.0
360290006003001,41.0
360290006003002,41.0
360290006003003,41.0
360290006003004,41.0
360290006003005,41.0
360290006004000,41.0
360290006004001,41.0
360290006004002,41.0
360290006004003,41.0
360290006004004,41.0
360290006004005,41.0
360290006004006,41.0
360290007001000,41.0
360290007001001,41.0
360290007001002,41.0
360290007001003,41.0
360290007001004,41.0
360290007001005,41.0
360290007002000,41.0
360290007002001,41.0
360290007002002,41.0
360290007002003,41.0
360290007002004,41.0
360290007002005,41.0
360290007003000,41.0
360290007003001,41.0
360290007003002,41.0
360290007003003,41.0
360290007003004,41.0
360290007003005,41.0
360290007003006,41.0
360290007004000,41.0
360290007004001,41.0
360290007004002,41.0
360290007004003,41.0
360290007004004,41.0
360290007004005,41.0
360290007005000,41.0
360290007005001,41.0
360290007005002,41.0
360290007005003,41.0
360290007005004,41.0
360290007005005,41.0
360290007005006,41.0
360290008001000,41.0
360290008001001,41.0
360290008001002,41.0
360290008001003,41.0
360290008001004,41.0
360290008001005,41.0
360290008001006,41.0
360290008001007,41.0
360290008002000,41.0
360290008002001,41.0
360290008002002,41.0
360290008002003,41.0
360290008002004,41.0
360290008002005,41.0
360290008002006,41.0
360290008002007,41.0
360290008002008,41.0
360290008002009,41.0
360290008002010,41.0
360290008002011,41.0
360290008003000,41.0
360290008003001,41.0
360290008003002,41.0
360290008003003,41.0
360290008003004,41.0
360290008003005,41.0
360290008003006,41.0
360290008003007,41.0
360290008003008,41.0
360290008003009,41.0
360290008003010,41.0
360290008003011,41.0
360290008004000,41.0
360290008004001,41.0
360290008004002,41.0
360290008004003,41.0
360290008004004,41.0
360290008004005,41.0
360290009001000,41.0
360290009001001,41.0
360290009001002,41.0
360290009001003,41.0
360290009001004,41.0
360290009001005,41.0
360290009001006,41.0
360290009002000,41.0
360290009002001,41.0
360290009002002,41.0
360290009002003,41.0
360290009002004,41.0
360290009002005,41.0
360290009002006,41.0
360290009002007,41.0
360290009002008,41.0
360290009002009,41.0
360290009002010,41.0
360290009002011,41.0
360290009003000,41.0
360290009003001,41.0
360290009003002,41.0
360290009003003,41.0
360290009003004,41.0
360290009003005,41.0
360290009003006,41.0
360290009003007,41.0
360290009003008,41.0
360290009003009,41.0
360290010001000,41.0
360290010001001,41.0
360290010001002,41.0
360290010001003,41.0
360290010001004,41.0
360290010001005,41.0
360290010001006,41.0
360290010001007,41.0
360290010001008,41.0
360290010001009,41.0
360290010001010,41.0
360290010001011,41.0
360290010001012,41.0
360290010001013,41.0
360290010001014,41.0
360290010002000,41.0
360290010002001,41.0
360290010002002,41.0
360290010002003,41.0
360290010002004,41.0
360290010003000,41.0
360290010003001,41.0
360290010003002,41.0
360290010003003,41.0
360290010003004,41.0
360290010003005,41.0
360290010003006,41.0
360290010003007,41.0
360290010003008,41.0
360290010003009,41.0
360290010003010,41.0
360290010004000,41.0
360290010004001,41.0
360290010004002,41.0
360290010004003,41.0
360290010004004,41.0
360290010004005,41.0
360290010004006,41.0
360290010004007,41.0
360290010004008,41.0
360290010005000,41.0
360290010005001,41.0
360290010005002,41.0
360290010005003,41.0
360290010005004,41.0
360290010005005,41.0
360290010005006,41.0
360290010005007,41.0
360290010005008,41.0
360290010005009,41.0
360290010005010,41.0
360290010005011,41.0
360290011001000,41.0
360290011001001,41.0
360290011001002,41.0
360290011001003,41.0
360290011001004,41.0
360290011001005,41.0
360290011001006,41.0
360290011001007,41.0
360290011001008,41.0
360290011001009,41.0
360290011001010,41.0
360290011002000,41.0
360290011002001,41.0
360290011002002,41.0
360290011002003,41.0
360290011002004,41.0
360290011002005,41.0
360290011003000,42.0
360290011003001,42.0
360290011003002,42.0
360290011003003,42.0
360290011003004,42.0
360290011003005,42.0
360290011003006,42.0
360290011003007,42.0
360290011003008,42.0
360290011003009,42.0
360290011003010,42.0
360290011003011,42.0
360290011003012,41.0
360290011003013,42.0
360290011003014,41.0
360290011003015,41.0
360290011003016,41.0
360290014031000,42.0
360290014031001,42.0
360290014031002,42.0
360290014031003,42.0
360290014031004,42.0
360290014031005,42.0
360290014031006,42.0
360290014031007,42.0
360290014032000,42.0
360290014032001,42.0
360290014032002,26.0
360290014032003,26.0
360290014032004,26.0
360290014032005,42.0
360290014032006,42.0
360290014032007,42.0
360290014032008,42.0
360290014032009,26.0
360290014032010,42.0
360290014032011,42.0
360290014032012,42.0
360290014041000,42.0
360290014041001,42.0
360290014041002,42.0
360290014041003,42.0
360290014042000,26.0
360290014042001,26.0
360290014042002,26.0
360290014042003,26.0
360290014042004,42.0
360290014042005,42.0
360290014042006,42.0
360290014042007,42.0
360290014042008,42.0
360290014042009,42.0
360290014042010,26.0
360290014042011,26.0
360290014042012,42.0
360290014042013,26.0
360290014042014,26.0
360290015001000,42.0
360290015001001,42.0
360290015001002,42.0
360290015001003,42.0
360290015001004,42.0
360290015001005,42.0
360290015001006,42.0
360290015001007,42.0
360290015001008,42.0
360290015001009,42.0
360290015001010,42.0
360290015001011,42.0
360290015001012,26.0
360290015001013,42.0
360290015001014,42.0
360290015001015,42.0
360290015001016,42.0
360290015001017,42.0
360290015001018,42.0
360290015001019,42.0
360290015001020,42.0
360290015001021,42.0
360290015001022,42.0
360290015001023,42.0
360290015001024,42.0
360290015001025,42.0
360290015001026,42.0
360290015001027,42.0
360290015001028,42.0
360290015001029,42.0
360290015001030,42.0
360290015001031,42.0
360290015002000,42.0
360290015002001,42.0
360290015002002,42.0
360290015002003,42.0
360290015002004,26.0
360290015002005,26.0
360290015002006,26.0
360290015002007,42.0
360290015002008,26.0
360290015002009,26.0
360290015002010,26.0
360290015002011,42.0
360290015002012,42.0
360290015002013,42.0
360290015002014,26.0
360290015002015,26.0
360290015003000,42.0
360290015003001,26.0
360290015003002,42.0
360290015003003,26.0
360290015003004,42.0
360290015003005,26.0
360290015003006,26.0
360290015003007,26.0
360290015003008,26.0
360290015003009,42.0
360290015003010,42.0
360290015003011,42.0
360290015003012,42.0
360290015003013,26.0
360290016011000,42.0
360290016011001,42.0
360290016011002,42.0
360290016011003,42.0
360290016011004,42.0
360290016011005,42.0
360290016011006,42.0
360290016011007,46.0
360290016011008,42.0
360290016011009,42.0
360290016011010,42.0
360290016011011,46.0
360290016011012,42.0
360290016011013,42.0
360290016011014,42.0
360290016011015,42.0
360290016011016,42.0
360290016011017,42.0
360290016011018,42.0
360290016011019,42.0
360290016011020,42.0
360290016011021,42.0
360290016011022,42.0
360290016021000,42.0
360290016021001,42.0
360290016021002,42.0
360290016021003,42.0
360290016021004,42.0
360290016021005,42.0
360290016021006,42.0
360290016021007,42.0
360290016021008,42.0
360290016021009,42.0
360290016021010,42.0
360290016021011,42.0
360290016021012,42.0
360290016021013,42.0
360290016021014,42.0
360290016021015,42.0
360290016021016,42.0
360290016021017,42.0
360290016021018,42.0
360290016021019,42.0
360290016021020,42.0
360290016021021,42.0
360290016021022,42.0
360290016021023,42.0
360290016021024,42.0
360290016021025,42.0
360290016021026,42.0
360290016021027,42.0
360290016021028,42.0
360290016021029,42.0
360290016021030,42.0
360290016021031,42.0
360290017001000,42.0
360290017001001,42.0
360290017001002,42.0
360290017001003,42.0
360290017001004,42.0
360290017001005,42.0
360290017001006,42.0
360290017001007,42.0
360290017001008,42.0
360290017001009,42.0
360290017001010,42.0
360290017001011,42.0
360290017001012,42.0
360290017001013,42.0
360290017001014,42.0
360290017001015,42.0
360290017001016,42.0
360290017001017,42.0
360290017001018,42.0
360290017001019,42.0
360290017001020,42.0
360290017001021,42.0
360290017001022,42.0
360290017001023,42.0
360290017002000,42.0
360290017002001,42.0
360290017002002,42.0
360290017002003,42.0
360290017002004,42.0
360290017002005,42.0
360290017002006,42.0
360290017002007,42.0
360290017002008,42.0
360290017002009,42.0
360290017002010,42.0
360290017002011,42.0
360290017002012,42.0
360290017002013,42.0
360290017002014,42.0
360290017002015,42.0
360290017002016,42.0
360290017002017,42.0
360290017002018,42.0
360290017002019,42.0
360290017002020,42.0
360290017002021,42.0
360290019001000,42.0
360290019001001,42.0
360290019001002,42.0
360290019001003,42.0
360290019001004,42.0
360290019001005,42.0
360290019001006,42.0
360290019001007,42.0
360290019001008,42.0
360290019002000,42.0
360290019002001,42.0
360290019002002,42.0
360290019002003,42.0
360290019002004,42.0
360290019002005,42.0
360290019002006,42.0
360290019002007,42.0
360290019002008,42.0
360290019002009,41.0
360290019002010,41.0
360290019002011,41.0
360290019003000,42.0
360290019003001,42.0
360290019003002,42.0
360290019003003,42.0
360290019003004,42.0
360290023001000,46.0
360290023001001,46.0
360290023001002,46.0
360290023001003,46.0
360290023001004,42.0
360290023001005,46.0
360290023001006,46.0
360290023001007,42.0
360290023001008,42.0
360290023001009,46.0
360290023001010,42.0
360290023002000,46.0
360290023002001,46.0
360290023002002,46.0
360290023002003,46.0
360290023002004,46.0
360290023002005,46.0
360290023003000,46.0
360290023003001,46.0
360290023003002,46.0
360290023003003,42.0
360290023003004,42.0
360290023003005,42.0
360290023004000,46.0
360290023004001,46.0
360290023004002,46.0
360290023004003,42.0
360290023004004,42.0
360290023004005,46.0
360290024001000,46.0
360290024001001,46.0
360290024001002,46.0
360290024001003,46.0
360290024001004,46.0
360290024001005,46.0
360290024001006,46.0
360290024002000,46.0
360290024002001,46.0
360290024002002,46.0
360290024002003,46.0
360290024002004,46.0
360290024002005,46.0
360290024002006,46.0
360290024003000,46.0
360290024003001,46.0
360290024003002,46.0
360290024003003,46.0
360290024003004,46.0
360290024003005,46.0
360290024003006,42.0
360290024003007,42.0
360290024003008,42.0
360290024003009,42.0
360290024003010,46.0
360290024003011,46.0
360290024003012,42.0
360290024003013,46.0
360290024004000,46.0
360290024004001,46.0
360290024004002,46.0
360290024004003,46.0
360290024004004,46.0
360290024004005,46.0
360290024004006,46.0
360290024004007,46.0
360290024004008,46.0
360290024004009,46.0
360290024004010,46.0
360290024005000,42.0
360290024005001,42.0
360290024005002,42.0
360290024005003,42.0
360290024005004,42.0
360290024005005,42.0
360290024005006,42.0
360290024005007,42.0
360290024005008,42.0
360290024005009,42.0
360290024005010,42.0
360290024005011,42.0
360290024005012,46.0
360290024005013,42.0
360290024005014,42.0
360290024005015,42.0
360290024005016,42.0
360290024005017,42.0
360290025021000,26.0
360290025021001,26.0
360290025021002,26.0
360290025021003,26.0
360290025021004,26.0
360290025021005,26.0
360290025021006,26.0
360290025021007,26.0
360290025021008,26.0
360290025021009,26.0
360290025021010,26.0
360290025021011,26.0
360290025021012,26.0
360290025021013,26.0
360290025021014,26.0
360290025021015,26.0
360290025021016,26.0
360290025021017,26.0
360290025021018,26.0
360290025022000,26.0
360290025022001,26.0
360290025022002,26.0
360290025022003,26.0
360290025022004,26.0
360290025022005,26.0
360290025022006,26.0
360290025022007,42.0
360290025022008,26.0
360290025022009,26.0
360290025022010,26.0
360290025022011,26.0
360290025022012,26.0
360290025023000,26.0
360290025023001,26.0
360290025023002,26.0
360290025023003,26.0
360290025023004,26.0
360290025023005,26.0
360290025023006,26.0
360290025023007,26.0
360290025023008,26.0
360290025023009,26.0
360290025023010,26.0
360290025023011,26.0
360290025023012,26.0
360290025023013,26.0
360290025023014,26.0
360290025023015,26.0
360290025023016,26.0
360290025023017,26.0
360290025023018,26.0
360290025023019,26.0
360290025023020,26.0
360290025023021,26.0
360290025023022,26.0
360290025023023,26.0
360290027031000,46.0
360290027031001,46.0
360290027031002,26.0
360290027031003,42.0
360290027031004,46.0
360290027031005,46.0
360290027031006,46.0
360290027031007,46.0
360290027031008,42.0
360290027031009,42.0
360290027031010,46.0
360290027031011,46.0
360290027031012,42.0
360290027031013,42.0
360290027031014,42.0
360290027031015,42.0
360290027031016,42.0
360290027041000,46.0
360290027041001,46.0
360290027041002,46.0
360290027041003,46.0
360290027041004,46.0
360290027041005,46.0
360290027042000,46.0
360290027042001,46.0
360290027042002,46.0
360290027042003,46.0
360290027042004,46.0
360290027042005,46.0
360290027043000,46.0
360290027043001,46.0
360290027043002,46.0
360290027043003,42.0
360290027043004,42.0
360290027043005,42.0
360290028011000,46.0
360290028011001,46.0
360290028011002,46.0
360290028011003,46.0
360290028011004,42.0
360290028011005,42.0
360290028011006,42.0
360290028011007,46.0
360290028011008,42.0
360290028011009,46.0
360290028011010,46.0
360290028012000,46.0
360290028012001,46.0
360290028012002,46.0
360290028012003,46.0
360290028012004,46.0
360290028021000,46.0
360290028021001,46.0
360290028021002,46.0
360290028021003,46.0
360290028021004,46.0
360290028021005,46.0
360290028021006,46.0
360290028021007,46.0
360290028021008,46.0
360290028021009,46.0
360290028021010,46.0
360290028021011,46.0
360290028021012,46.0
360290028021013,46.0
360290028021014,46.0
360290028021015,46.0
360290028021016,46.0
360290028021017,46.0
360290028021018,46.0
360290028021019,46.0
360290029001000,46.0
360290029001001,46.0
360290029001002,46.0
360290029001003,46.0
360290029001004,46.0
360290029001005,46.0
360290029002000,46.0
360290029002001,46.0
360290029002002,46.0
360290029002003,46.0
360290029002004,46.0
360290029002005,46.0
360290029002006,46.0
360290029003000,46.0
360290029003001,46.0
360290029003002,46.0
360290029003003,46.0
360290029003004,46.0
360290029003005,46.0
360290029004000,46.0
360290029004001,46.0
360290029004002,46.0
360290029004003,46.0
360290029004004,46.0
360290029004005,46.0
360290029004006,46.0
360290030001000,46.0
360290030001001,46.0
360290030001002,46.0
360290030001003,46.0
360290030001004,46.0
360290030001005,46.0
360290030002000,46.0
360290030002001,46.0
360290030002002,46.0
360290030002003,46.0
360290030002004,46.0
360290030002005,46.0
360290030002006,46.0
360290030002007,46.0
360290030002008,46.0
360290030002009,46.0
360290030002010,46.0
360290030002011,46.0
360290030002012,46.0
360290030002013,46.0
360290030003000,46.0
360290030003001,46.0
360290030003002,46.0
360290030003003,46.0
360290030003004,46.0
360290031001000,26.0
360290031001001,26.0
360290031001002,26.0
360290031001003,26.0
360290031001004,26.0
360290031001005,26.0
360290031001006,26.0
360290031001007,26.0
360290031001008,26.0
360290031001009,26.0
360290031001010,26.0
360290031001011,26.0
360290031001012,26.0
360290031001013,26.0
360290031001014,26.0
360290031001015,26.0
360290031001016,26.0
360290031001017,26.0
360290031001018,26.0
360290031001019,26.0
360290031001020,26.0
360290031002000,26.0
360290031002001,26.0
360290031002002,26.0
360290031002003,26.0
360290031002004,26.0
360290031002005,26.0
360290031002006,26.0
360290031002007,26.0
360290031002008,26.0
360290031002009,26.0
360290031002010,26.0
360290031002011,26.0
360290031002012,26.0
360290031002013,26.0
360290031002014,26.0
360290031002015,26.0
360290031002016,26.0
360290031002017,26.0
360290031002018,26.0
360290031003000,26.0
360290031003001,26.0
360290031003002,26.0
360290031003003,26.0
360290031003004,26.0
360290031003005,26.0
360290031003006,26.0
360290031003007,26.0
360290031003008,26.0
360290031003009,26.0
360290031003010,26.0
360290031003011,26.0
360290031003012,26.0
360290031003013,26.0
360290031003014,26.0
360290031003015,26.0
360290031003016,26.0
360290031003017,26.0
360290031003018,26.0
360290031004000,26.0
360290031004001,26.0
360290031004002,26.0
360290031004003,26.0
360290031004004,26.0
360290031004005,26.0
360290031004006,26.0
360290031004007,26.0
360290031004008,26.0
360290031004009,26.0
360290031004010,26.0
360290031004011,26.0
360290031004012,26.0
360290031004013,26.0
360290031004014,26.0
360290031004015,26.0
360290031004016,26.0
360290031004017,26.0
360290031004018,26.0
360290033011000,27.0
360290033011001,27.0
360290033011002,27.0
360290033011003,27.0
360290033012000,27.0
360290033012001,27.0
360290033012002,27.0
360290033012003,27.0
360290033012004,27.0
360290033012005,27.0
360290033012006,27.0
360290033012007,27.0
360290033012008,27.0
360290033012009,27.0
360290033012010,27.0
360290033012011,27.0
360290033013000,27.0
360290033013001,27.0
360290033013002,27.0
360290033013003,27.0
360290033013004,27.0
360290033013005,27.0
360290033013006,27.0
360290033014000,27.0
360290033014001,27.0
360290033014002,27.0
360290033014003,27.0
360290033014004,27.0
360290033021000,27.0
360290033021001,27.0
360290033021002,27.0
360290033021003,27.0
360290033021004,27.0
360290033021005,26.0
360290033021006,26.0
360290033021007,26.0
360290033021008,26.0
360290033021009,26.0
360290033021010,26.0
360290033021011,26.0
360290033021012,26.0
360290033022000,26.0
360290033022001,26.0
360290033022002,26.0
360290033022003,26.0
360290033022004,26.0
360290033022005,26.0
360290033022006,26.0
360290033022007,26.0
360290033022008,26.0
360290033022009,26.0
360290033022010,26.0
360290033022011,26.0
360290033022012,26.0
360290033022013,26.0
360290033022014,26.0
360290033023000,27.0
360290033023001,27.0
360290033023002,27.0
360290033023003,27.0
360290033023004,27.0
360290033023005,27.0
360290033023006,27.0
360290033023007,27.0
360290033023008,27.0
360290033023009,27.0
360290033023010,27.0
360290033023011,27.0
360290033023012,27.0
360290033023013,27.0
360290033023014,27.0
360290033023015,27.0
360290033024000,26.0
360290033024001,26.0
360290033024002,26.0
360290033024003,26.0
360290033024004,26.0
360290033024005,26.0
360290034001000,27.0
